Filename,issue_cwe_id,issue_text,issue_severity,test_id,test_name
Python/b4b399ef-1def-4f68-b2f1-8c56ca3858ae_1.py,330,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,LOW,B311,blacklist
Python/b4b399ef-1def-4f68-b2f1-8c56ca3858ae_1.py,330,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,LOW,B311,blacklist
Python/b50a1f89-6c17-413b-aeb0-a04ef43c831c_0.py,78,Consider possible security implications associated with the subprocess module.,LOW,B404,blacklist
Python/b50a1f89-6c17-413b-aeb0-a04ef43c831c_0.py,78,"subprocess call with shell=True identified, security issue.",HIGH,B602,subprocess_popen_with_shell_equals_true
Python/b61ad56e-05cc-4c61-93fb-0ed0221f6b13_1.py,20,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,MEDIUM,B506,yaml_load
Python/c902a4fb-96ce-446d-9529-dfa1a652ca16_0.py,703,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,B101,assert_used
Python/c9e107c8-e424-4260-a85e-0bffcf334e2b_1.py,703,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,B101,assert_used
Python/c9e107c8-e424-4260-a85e-0bffcf334e2b_1.py,703,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,B101,assert_used
Python/c9e107c8-e424-4260-a85e-0bffcf334e2b_1.py,703,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,B101,assert_used
Python/cd181779-6d66-4e6c-9a4c-4bfd25db80b0_0.py,400,Requests call without timeout,MEDIUM,B113,request_without_timeout
Python/d5ccfa00-a3b3-4ce0-9e00-e64174eba2c5_1.py,400,Requests call without timeout,MEDIUM,B113,request_without_timeout
Python/e83ec1f2-6a02-4d41-a851-f76dfc011d39_2.py,94,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",HIGH,B201,flask_debug_true
Python/eb6683ba-6540-433f-a598-03bc57b13f4f_0.py,400,Requests call without timeout,MEDIUM,B113,request_without_timeout
Python/eb6683ba-6540-433f-a598-03bc57b13f4f_0.py,94,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",HIGH,B201,flask_debug_true
Python/f9b4f1d0-cedb-4576-a145-ad3eac345d27_1.py,703,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,B101,assert_used
Python/f9b4f1d0-cedb-4576-a145-ad3eac345d27_1.py,703,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,B101,assert_used
Python/f9b4f1d0-cedb-4576-a145-ad3eac345d27_1.py,703,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,B101,assert_used
Python/f9b4f1d0-cedb-4576-a145-ad3eac345d27_1.py,703,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,B101,assert_used
Python/f9b4f1d0-cedb-4576-a145-ad3eac345d27_1.py,703,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,B101,assert_used
Python/fdef9ad7-bd4b-431e-bddb-24572a1fccee_0.py,330,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,LOW,B311,blacklist
Python/fdef9ad7-bd4b-431e-bddb-24572a1fccee_0.py,400,Requests call without timeout,MEDIUM,B113,request_without_timeout
Python/fea426fb-cb02-4b38-9f42-128f59115fc4_0.py,330,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,LOW,B311,blacklist
Python/fea426fb-cb02-4b38-9f42-128f59115fc4_0.py,330,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,LOW,B311,blacklist
Python/ff041b92-992d-40f0-b411-42a49ff0b3e3_1.py,94,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,B701,jinja2_autoescape_false
Python/ffa45c61-8b7a-44e1-b757-041f31df5099_0.py,400,Requests call without timeout,MEDIUM,B113,request_without_timeout
Python/ffa45c61-8b7a-44e1-b757-041f31df5099_0.py,400,Requests call without timeout,MEDIUM,B113,request_without_timeout
Python/ffa45c61-8b7a-44e1-b757-041f31df5099_1.py,400,Requests call without timeout,MEDIUM,B113,request_without_timeout
Python/ffa45c61-8b7a-44e1-b757-041f31df5099_1.py,400,Requests call without timeout,MEDIUM,B113,request_without_timeout
